Symbol,MinDate,MaxDate,TotalRows
BLDR,2022-12-19 09:30:00,2024-12-19 09:10:00,42145
ATO,2022-12-19 09:30:00,2024-12-18 17:20:00,39905
PEP,2022-12-19 08:45:00,2024-12-19 10:25:00,47222
FRT,2022-12-19 09:30:00,2024-12-19 09:45:00,39695
COO,2022-12-19 09:30:00,2024-12-19 09:30:00,38446
SLB,2022-12-19 04:00:00,2024-12-19 10:35:00,53234
HSIC,2022-12-19 09:30:00,2024-12-19 09:50:00,40056
T,2022-12-19 04:00:00,2024-12-19 09:10:00,68903
NSC,2022-12-19 09:30:00,2024-12-19 10:15:00,40597
BIIB,2022-12-19 08:00:00,2024-12-19 09:00:00,41632
CBRE,2022-12-19 09:30:00,2024-12-19 07:40:00,40371
EQR,2022-12-19 09:30:00,2024-12-19 09:40:00,40310
MSCI,2022-12-19 09:30:00,2024-12-19 10:15:00,39106
MA,2022-12-19 04:05:00,2024-12-19 10:10:00,42249
EMR,2022-12-19 07:55:00,2024-12-19 09:40:00,41566
TSCO,2022-12-19 09:30:00,2024-12-19 10:40:00,40689
AZO,2022-12-19 09:30:00,2024-12-19 09:00:00,29249
DOV,2022-12-19 09:30:00,2024-12-19 09:35:00,40138
PM,2022-12-19 08:20:00,2024-12-19 10:25:00,43717
IBM,2022-12-19 08:00:00,2024-12-19 09:55:00,48524
CMI,2022-12-19 09:30:00,2024-12-19 09:30:00,40560
ICE,2022-12-19 09:30:00,2024-12-19 09:55:00,40701
GL,2022-12-19 09:30:00,2024-12-19 09:50:00,40711
CCL,2022-12-19 04:05:00,2024-12-19 09:20:00,83471
AVY,2022-12-19 09:30:00,2024-12-18 16:00:00,39090
SW,2022-12-19 09:30:00,2024-12-19 10:35:00,45113
AXON,2022-12-19 08:55:00,2024-12-19 09:10:00,40433
NCLH,2022-12-19 08:00:00,2024-12-19 10:15:00,64444
LUV,2022-12-19 05:15:00,2024-12-19 10:35:00,54624
CNC,2022-12-19 09:30:00,2024-12-19 09:20:00,41719
EXC,2022-12-19 09:30:00,2024-12-19 09:40:00,43146
ULTA,2022-12-19 09:30:00,2024-12-19 10:45:00,42609
BX,2022-12-19 04:05:00,2024-12-19 09:10:00,45560
GM,2022-12-19 06:00:00,2024-12-19 09:50:00,59303
APTV,2022-12-19 09:30:00,2024-12-19 08:00:00,41059
COF,2022-12-19 08:05:00,2024-12-19 08:00:00,42877
ZBRA,2022-12-19 09:30:00,2024-12-19 10:50:00,38725
COST,2022-12-19 09:30:00,2024-12-19 09:30:00,46360
AIZ,2022-12-19 09:30:00,2024-12-19 09:10:00,38527
YUM,2022-12-19 09:30:00,2024-12-19 10:50:00,40874
ESS,2022-12-19 09:30:00,2024-12-19 09:40:00,38269
LLY,2022-12-19 07:00:00,2024-12-19 10:05:00,50492
AMCR,2022-12-19 09:30:00,2024-12-19 08:00:00,41790
INCY,2022-12-19 09:30:00,2024-12-19 09:55:00,40884
BDX,2022-12-19 09:30:00,2024-12-19 08:25:00,40364
BAX,2022-12-19 04:00:00,2024-12-19 08:55:00,41424
CME,2022-12-19 09:30:00,2024-12-19 09:25:00,41008
FIS,2022-12-19 09:30:00,2024-12-19 09:45:00,41405
CMG,2022-12-19 09:30:00,2024-12-19 09:25:00,43850
SJM,2022-12-19 09:30:00,2024-12-19 10:35:00,40427
AVB,2022-12-19 09:30:00,2024-12-18 16:00:00,39839
GPC,2022-12-19 09:30:00,2024-12-19 09:50:00,40251
CFG,2022-12-19 09:30:00,2024-12-19 08:40:00,43129
CDNS,2022-12-19 09:30:00,2024-12-19 09:15:00,42513
JBL,2022-12-19 09:15:00,2024-12-19 10:00:00,41167
XYL,2022-12-19 08:00:00,2024-12-19 10:50:00,40522
REGN,2022-12-19 09:30:00,2024-12-19 10:30:00,40002
MCK,2022-12-19 08:40:00,2024-12-19 10:10:00,40227
SPGI,2022-12-19 09:30:00,2024-12-19 10:30:00,40637
DFS,2022-12-19 08:00:00,2024-12-19 09:35:00,41963
MS,2022-12-19 04:00:00,2024-12-19 10:15:00,48989
HUBB,2022-12-19 09:30:00,2024-12-19 09:55:00,38963
LOW,2022-12-19 08:00:00,2024-12-19 10:05:00,43497
TPL,2022-12-19 09:30:00,2024-12-19 10:40:00,15213
PH,2022-12-19 09:30:00,2024-12-19 10:20:00,39986
CPT,2022-12-19 09:30:00,2024-12-18 16:00:00,39985
NRG,2022-12-19 04:00:00,2024-12-19 10:20:00,41975
F,2022-12-19 04:25:00,2024-12-19 09:45:00,80492
MTB,2022-12-19 09:15:00,2024-12-19 10:05:00,40838
HBAN,2022-12-19 07:35:00,2024-12-19 09:55:00,46190
DELL,2022-12-19 08:45:00,2024-12-19 09:35:00,57795
BEN,2022-12-19 09:30:00,2024-12-19 09:45:00,41482
PCG,2022-12-19 08:20:00,2024-12-19 10:25:00,43275
MDT,2022-12-19 04:10:00,2024-12-19 10:10:00,43778
WST,2022-12-19 09:10:00,2024-12-19 10:50:00,38938
CARR,2022-12-19 09:30:00,2024-12-19 09:20:00,42133
GD,2022-12-19 09:15:00,2024-12-19 09:50:00,41000
CEG,2022-12-19 09:30:00,2024-12-19 09:30:00,43494
DIS,2022-12-19 04:00:00,2024-12-19 10:50:00,69580
NTRS,2022-12-19 09:30:00,2024-12-19 10:15:00,40376
PNC,2022-12-19 09:30:00,2024-12-19 10:25:00,42629
